Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
San Marino,1,-0.3676070739313725,-0.20285648884358504,-0.055161725382691006,0.0,0.0,0.0
Saudi Arabia,1,0.4083518430092351,-0.05999918991152627,-0.01347253353743129,1.0,0.0,0.0
Senegal,1,-0.10290653973245466,-0.6627162140293227,-0.1681087790950266,0.0,0.0,0.0
Serbia,1,0.2329619403331601,0.5575943153289422,0.1303382671877382,1.0,1.0,1.0
Seychelles,1,-0.2938692835469724,0.34772881231439295,0.09269742485015262,0.0,1.0,1.0
Sierra Leone,1,-0.2740541970363067,-1.5430833650578417,-0.40919314190250533,0.0,0.0,0.0
Singapore,1,0.5062464461655696,1.8562566792994026,0.40784840434527153,1.0,1.0,1.0
Slovak Republic,1,0.45871333345763693,0.7313728796367672,0.16238993561017653,1.0,1.0,1.0
Slovenia,1,0.21348901470843912,1.1243852663478329,0.26402806528082406,0.0,1.0,1.0
Solomon Islands,1,-1.1399837594823996,-1.097249916977853,-0.3776965644215213,0.0,0.0,0.0
South Africa,1,0.6615645080504764,-0.9511057104926831,-0.20207666167874797,1.0,0.0,0.0
South Sudan,1,-0.5260950715476762,-2.1582995235685427,-0.6133278120827742,0.0,0.0,0.0
Spain,1,0.4846531554556846,0.9500124183311962,0.20972750113155067,1.0,1.0,1.0
Sri Lanka,1,-0.3823383383336249,-0.04048239542967899,-0.01105244416936342,0.0,0.0,0.0
St. Kitts and Nevis,1,-0.5197507757586545,0.064130204971721,0.018191197979339366,0.0,0.0,0.0
St. Lucia,1,-0.6136205065478386,0.12039889614871635,0.03508665262482833,0.0,0.0,0.0
St. Vincent and the Grenadines,1,-0.3762809537607824,-0.18495897132586378,-0.05041385348526076,0.0,0.0,0.0
Sudan,1,-0.317618818953083,-1.0928954287615684,-0.29319997104981493,0.0,0.0,0.0
Suriname,1,0.05531004242235531,-0.20285648884358504,-0.04947232472661277,0.0,0.0,0.0
Sweden,1,0.7355920808557594,1.142733008921857,0.23903120630925198,1.0,1.0,1.0
Switzerland,1,0.5803989624097456,1.0501935139737395,0.22704469920473067,1.0,1.0,1.0
S�o Tom� and Pr�ncipe,1,-0.8321035691985976,-0.20285648884358504,-0.0631363626357707,0.0,0.0,0.0
Tajikistan,1,-0.034422810399701895,0.003698657780450393,9.222043373585204E-4,0.0,0.0,0.0
Tanzania,1,0.06105375004543137,-0.8578426007556369,-0.2089166746547086,0.0,0.0,0.0
Thailand,1,0.3094122516989185,0.22142686343412563,0.050850058069641865,1.0,1.0,0.0
Timor-Leste,1,-0.4403808662134864,-0.6443898024529788,-0.17876316150292298,0.0,0.0,0.0
Togo,1,-0.23986875016832485,-0.5523196178597674,-0.14514770450606457,0.0,0.0,0.0
Tonga,1,-0.8315468385467375,-0.3116143243786749,-0.09696897863125276,0.0,0.0,0.0
Trinidad and Tobago,1,-0.09044882664314448,0.3764675452151813,0.09519630440558641,0.0,1.0,1.0
Tunisia,1,-0.015311375409636242,-0.44887468332330277,-0.11138932194584274,0.0,0.0,0.0
Turkmenistan,1,-0.8499889816117256,-0.20285648884358504,-0.06348978454278312,0.0,0.0,0.0
Turks and Caicos Islands,1,-0.6359607322251417,-0.20285648884358504,-0.05950384180999285,0.0,0.0,0.0
Tuvalu,1,-0.8476538512405652,-0.8385603783294557,-0.2622599661151131,0.0,0.0,0.0
T�rkiye,1,0.48374815175765673,0.6402593680961491,0.14137376321011486,1.0,1.0,1.0
Uganda,1,-0.5288274978835301,-0.8750554683100795,-0.24885930176305332,0.0,0.0,0.0
Ukraine,1,0.5968346792177198,0.7003753043294972,0.15088025875787045,1.0,1.0,1.0
United Arab Emirates,1,0.4939225691439477,0.48608276456595373,0.10708990047663654,1.0,1.0,1.0
United Kingdom,1,0.42759265807652325,2.370082947717702,0.5299014811015222,1.0,1.0,1.0
United States,1,1.042653181235799,1.478667268886404,0.29063304464463074,1.0,1.0,1.0
Uruguay,1,0.14489915515522855,0.3412464731285156,0.08144321775049175,0.0,1.0,1.0
Uzbekistan,1,0.2873490508787677,0.5754190533398201,0.1328163188815349,1.0,1.0,1.0
Vanuatu,1,-1.235020643517901,-1.021662400825353,-0.36357151660104037,0.0,0.0,0.0
"Venezuela, RB",1,0.12774032382701603,-0.20285648884358504,-0.04861360504843474,0.0,0.0,0.0
Vietnam,1,0.4509611786680756,1.0329526278631638,0.2297464628174497,1.0,1.0,1.0
Virgin Islands (U.S.),1,-3.0450933642213176,-0.20285648884358504,-0.20285648884358504,0.0,0.0,0.0
West Bank and Gaza,1,0.13680018619216874,0.013909158227657965,0.00332604310941456,0.0,0.0,0.0
"Yemen, Rep.",1,-0.1759210679102042,-1.6890655335582514,-0.43654440903771957,0.0,0.0,0.0
Zambia,1,-0.3366775817398682,-1.277801980333272,-0.34456815397281143,0.0,0.0,0.0
Zimbabwe,1,-0.08734108085329677,-0.29790048840789257,-0.07527011977474782,0.0,0.0,0.0
