INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_outlier,Year,Value,val_std,mu,sd,z
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LVA,Latvia,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,820.58154296875,6.711231193620958,6.758659794271764,2.432254157536862,-0.019499853871700806
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MAC,"Macao SAR, China","Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,High income,,false,2003,136.4109344482422,4.922975957758972,6.758659794271764,2.432254157536862,-0.7547253360938991
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MAR,Morocco,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,false,2013,5422.61865234375,8.598518519689797,6.758659794271764,2.432254157536862,0.7564418051118696
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MDA,Moldova,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,Upper middle income,IBRD,false,2022,455.2294616699219,6.122995888365493,6.758659794271764,2.432254157536862,-0.26134764902612245
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MDV,Maldives,"Government expenditure on primary education, PPP$ (millions)",South Asia,Upper middle income,IDA,false,2019,161.1765747070313,5.0886857089766355,6.758659794271764,2.432254157536862,-0.6865952228390091
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MEX,Mexico,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Upper middle income,IBRD,false,2020,35719.7890625,10.483488124962015,6.758659794271764,2.432254157536862,1.5314305534839239
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MHL,Marshall Islands,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,Upper middle income,IDA,false,2022,9.001740455627441,2.302759123412618,6.758659794271764,2.432254157536862,-1.8320045448587599
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MLI,Mali,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Low income,IDA,false,2021,1293.4052734375,7.165806620336024,6.758659794271764,2.432254157536862,0.16739485254969289
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MLT,Malta,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",High income,,false,2019,246.5263671875,5.5115171104253005,6.758659794271764,2.432254157536862,-0.5127517944545078
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",MMR,Myanmar,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,Lower middle income,IDA,false,2019,2075.802001953125,7.638584490469786,6.758659794271764,2.432254157536862,0.36177333420168567
