Indicator name,non_null_values,countries_covered,years_covered
"Europe: Students from Austria, both sexes (number)",24,1,24
"South America: Students from the Bolivarian Republic of Venezuela, both sexes (number)",24,1,24
"Africa: Students from Burkina Faso, both sexes (number)",24,2,24
"Teachers in secondary education, male (number)",24,2,23
"Asia: Students from unknown countries, both sexes (number)",24,1,24
"Repeaters in Grade 7 of primary education, female (number)",24,1,24
"Completion rate, upper secondary education, rural, second quintile, male (%)",24,3,21
"Caribbean and Central America: Students from Saint Kitts and Nevis, both sexes (number)",24,2,22
"Outbound internationally mobile tertiary students studying in North America and Western Europe, both sexes (number)",24,1,24
"Inbound internationally mobile students from East Asia and the Pacific, both sexes (number)",24,1,24
"Total outbound internationally mobile tertiary students studying abroad, all countries, both sexes (number)",24,1,24
"School life expectancy, primary and lower secondary, both sexes (years)",24,2,23
"Africa: Students from the Congo, both sexes (number)",24,1,24
"Asia: Students from the Islamic Republic of Iran, both sexes (number)",24,1,24
"Enrolment in upper secondary education, both sexes (number)",24,1,24
"Completion rate, primary education, middle quintile, male (%)",24,2,21
"Adjusted net attendance rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",24,2,21
"Enrolment in tertiary education, all programmes, both sexes (number)",24,2,22
"Gross enrolment ratio, lower secondary, both sexes (%)",23,1,23
"Enrolment in upper secondary education, female (number)",23,1,23
"Caribbean and Central America: Students from Trinidad and Tobago, both sexes (number)",23,2,21
"Repetition rate in Grade 3 of primary education, both sexes (%)",23,1,23
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",23,2,17
"Out-of-school youth of upper secondary school age, male (number)",23,1,23
"Repeaters in lower secondary general education, all grades, both sexes (number)",23,1,23
"Repetition rate in Grade 3 of primary education, female (%)",23,2,20
"South America: Students from Peru, both sexes (number)",23,1,23
"Out-of-school rate for youth of upper secondary school age, urban, second quintile, both sexes (household survey data) (%)",23,1,23
"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male (%)",23,3,17
"Out-of-school rate for youth of upper secondary school age, male (household survey data) (%)",23,1,23
"Repeaters in Grade 2 of primary education, female (number)",23,1,23
"Gross attendance ratio for tertiary education, adjusted wealth parity index (WPIA)",23,1,23
"Asia: Students from Palestine, both sexes (number)",23,1,23
"Africa: Students from Chad, both sexes (number)",23,1,23
"Out-of-school children and adolescents of primary and lower secondary school age, female (number)",23,1,23
"Europe: Students from North Macedonia, both sexes (number)",23,2,21
Current expenditure other than staff compensation as a percentage of total expenditure in lower secondary public institutions (%),23,1,23
