Indicator name,non_null_values,countries_covered,years_covered
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
"Learning Deprivation Gap;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Urban",1,1,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for reading, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Second Quintile",1,1,1
Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading,1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading, Male",1,1,1
"Learning Deprivation Gap;PASEC 2019 for grade 6 using MPL 4 for reading, Male",1,1,1
Learning Deprivation Gap;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading,1,1,1
"Learning Deprivation Gap;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Female",1,1,1
"Learning Deprivation Gap;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Third Quintile",1,1,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for reading, Second Quintile",1,1,1
"Learning Deprivation Gap;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Male",1,1,1
"Learning Deprivation Gap;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Third Quintile",1,1,1
"Learning Deprivation Gap;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Fourth Quintile",1,1,1
"Repetition rate in lower secondary general education (all grades), male (%)",1,1,1
"Above Proficiency;LLECES 2006 for grade 6 using MPL Level 3 for reading, First Quintile",1,1,1
LPSEV = SD: Country Team Validation; LD: PASEC 2014 for grade 6 using MPL 4 for reading; Male,1,1,1
"Learning Deprivation Gap;LLECES 2006 for grade 6 using MPL Level 3 for reading, Third Quintile",1,1,1
"Learning Deprivation Gap;LLECES 2013 for grade 6 using MPL Level 3 for reading, Rural",1,1,1
"Learning Deprivation Gap;PASEC 2019 for grade 2 using MPL 4 for math, Rural",1,1,1
"Learning Deprivation Gap;PASEC 2019 for grade 6 using MPL 4 for math, Female",1,1,1
"Learning Deprivation Gap;PASEC 2019 for grade 6 using MPL 4 for math, Second Quintile",1,1,1
Current expenditure as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),1,1,1
"Completion rate, upper secondary education, male, adjusted location parity index (LPIA)",1,1,1
"Completion rate, upper secondary education, poorest quintile, female (%)",1,1,1
"Completion rate, upper secondary education, poorest quintile, male (%)",1,1,1
"Completion rate, upper secondary education, richest quintile, male, adjusted location parity index (LPIA)",1,1,1
"Completion rate, upper secondary education, rural, adjusted wealth parity index (WPIA)",1,1,1
"Completion rate, upper secondary education, rural, poorest quintile, both sexes (%)",1,1,1
"Completion rate, primary education, rural, middle quintile, female (%)",1,1,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female (%)",1,1,1
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, male (%)",1,1,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for math, Female",1,1,1
"Completion rate, upper secondary education, urban, middle quintile, male (%)",1,1,1
"Completion rate, upper secondary education, urban, richest quintile, adjusted gender parity index (GPIA)",1,1,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for reading, First Quintile",1,1,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for science, Fourth Quintile",1,1,1
"Inbound internationally mobile students from South and West Asia, both sexes (number)",1,1,1
"Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)",1,1,1
"Total net attendance rate, primary education, urban, fourth quintile, adjusted gender parity index (GPIA)",1,1,1
"Total net attendance rate, primary, richest quintile, both sexes (%)",1,1,1
"Europe: Students from Poland, both sexes (number)",1,1,1
"Enrolment in tertiary education, ISCED 5 programmes, male (number)",1,1,1
"Total net attendance rate, primary, rural, poorest quintile, female (%)",1,1,1
LDSEV: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,1,1,1
LDSEV: SEA-PLM 2019 for grade 5 using MPL 6 for reading;,1,1,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for reading, Second Quintile",1,1,1
LP = SD: ANER; LD: PASEC 2006 for grade 5 using MPL 4 for reading;,1,1,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Fifth Quintile",1,1,1
"Inbound internationally mobile students from Europe, both sexes (number)",1,1,1
"Inbound internationally mobile students from North America, the Caribbean and Central America, both sexes (number)",1,1,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Rural",1,1,1
"Completion rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)",1,1,1
"Total net attendance rate, primary education, richest quintile, female, adjusted location parity index (LPIA)",1,1,1
"Total net attendance rate, primary education, second quintile, adjusted location parity index (LPIA)",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
"Out-of-school rate for adolescents of lower secondary school age, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)",1,1,1
"Out-of-school rate for adolescents of lower secondary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",1,1,1
"Caribbean and Central America: Students from Belize, both sexes (number)",1,1,1
"Out-of-school adolescents of lower secondary school age, male (number)",1,1,1
"Completion rate, lower secondary education, richest quintile, female, adjusted location parity index (LPIA)",1,1,1
"Completion rate, lower secondary education, rural, female (%)",1,1,1
"Out-of-school rate for adolescents of lower secondary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Out-of-school rate for adolescents of lower secondary school age, male, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Completion rate, lower secondary education, second quintile, male (%)",1,1,1
"Completion rate, lower secondary education, urban, male (%)",1,1,1
"Completion rate, lower secondary education, urban, richest quintile, both sexes (%)",1,1,1
"Completion rate, primary education, male, adjusted wealth parity index (WPIA)",1,1,1
"Out-of-school rate for children of primary school age, urban, poorest quintile, both sexes (household survey data) (%)",1,1,1
"Completion rate, primary education, rural, fourth quintile, male (%)",1,1,1
"Teacher attrition rate from pre-primary education, female (%)",1,1,1
"Teacher attrition rate from primary education, adjusted gender parity index (GPIA)",1,1,1
"Teacher attrition rate from primary education, female (%)",1,1,1
"Teacher attrition rate from primary education, male (%)",1,1,1
"Out-of-school rate for children of primary school age, urban, poorest quintile, male (household survey data) (%)",1,1,1
"Out-of-school rate for adolescents of lower secondary school age, rural, female, adjusted wealth parity index (household survey data) (WPIA)",1,1,1
"Completion rate, primary education, rural, poorest quintile, both sexes (%)",1,1,1
"Completion rate, primary education, rural, second quintile, male (%)",1,1,1
"Out-of-school rate for children of primary school age, poorest quintile, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Completion rate, primary education, urban, middle quintile, male (%)",1,1,1
"Completion rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)",1,1,1
"Completion rate, upper secondary education, adjusted gender parity index (GPIA)",1,1,1
"Completion rate, primary education, male, adjusted location parity index (LPIA)",1,1,1
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Female",1,1,1
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Male",1,1,1
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Second Quintile",1,1,1
"Out-of-school rate for children of primary school age, richest quintile, male (household survey data) (%)",1,1,1
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Male",1,1,1
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Second Quintile",1,1,1
"Above Proficiency;TIMSS 2015 for grade 5 using MPL Low (400 points) for math, Male",1,1,1
"Above Proficiency;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Female",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, rural, male, adjusted wealth parity index (WPIA)",1,1,1
"Out-of-school rate for children of primary school age, rural, adjusted gender parity index (household survey data) (GPIA)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, male (%)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, both sexes (%)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, female (%)",1,1,1
"Out-of-school rate for children of primary school age, fourth quintile, male (household survey data) (%)",1,1,1
"Above Proficiency;TIMSS 2011 for grade 9 using MPL Low (400 points) for math, Third Quintile",1,1,1
Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for math,1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, male (%)",1,1,1
"Teachers in tertiary education ISCED 6, 7 and 8 programmes, male (number)",1,1,1
"Out-of-school rate for children of primary school age, fourth quintile, male, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Out-of-school rate for children of primary school age, middle quintile, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Out-of-school rate for children of primary school age, middle quintile, both sexes (household survey data) (%)",1,1,1
"Out-of-school rate for children of primary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, rural, adjusted wealth parity index (WPIA)",1,1,1
Learning Deprivation Severity;TIMSS 2019 for grade 5 using MPL Low (400 points) for science,1,1,1
"Caribbean and Central America: Students from Honduras, both sexes (number)",1,1,1
"Africa: Students from Madagascar, both sexes (number)",1,1,1
"Africa: Students from Nigeria, both sexes (number)",1,1,1
"Learning Deprivation Severity;TIMSS 2019 for grade 8 using MPL Low (400 points) for math, First Quintile",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, both sexes (%)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, male, adjusted wealth parity index (WPIA)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, both sexes (%)",1,1,1
"Learning Deprivation Severity;TIMSS 2019 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Learning-Adjusted Years of School, Male",1,1,1
"Total net attendance rate, lower secondary, second quintile, female (%)",1,1,1
"Total net attendance rate, lower secondary, urban, fourth quintile, female (%)",1,1,1
Non-teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),1,1,1
"Total net attendance rate, lower secondary, urban, second quintile, both sexes (%)",1,1,1
"Out-of-school rate for youth of upper secondary school age, rural, female (household survey data) (%)",1,1,1
"Total net attendance rate, primary education, fourth quintile, adjusted gender parity index (GPIA)",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Male",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Rural",1,1,1
"Total net attendance rate, lower secondary, female, adjusted wealth parity index (WPIA)",1,1,1
"Total net attendance rate, lower secondary, male, adjusted wealth parity index (WPIA)",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Rural",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Female",1,1,1
"Total net attendance rate, lower secondary, rural, poorest quintile, female (%)",1,1,1
"Total net attendance rate, lower secondary, rural, richest quintile, both sexes (%)",1,1,1
"Total net attendance rate, lower secondary, rural, second quintile, both sexes (%)",1,1,1
"Above Proficiency;TIMSS 2019 for grade 9 using MPL Low (400 points) for math, Third Quintile",1,1,1
"Adjusted attendance rate, one year before the official primary entry age, second quintile, female, adjusted location parity index (LPIA)",1,1,1
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female (%)",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 8 using MPL Low (400 points) for science, Third Quintile",1,1,1
Learning Deprivation Severity;TIMSS 2015 for grade 9 using MPL Low (400 points) for science,1,1,1
"Total net attendance rate, lower secondary education, rural, middle quintile, adjusted gender parity index (GPIA)",1,1,1
"Total net attendance rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",1,1,1
"Total net attendance rate, lower secondary education, second quintile, adjusted gender parity index (GPIA)",1,1,1
"Above Proficiency;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Rural",1,1,1
"Out-of-school rate for youth of upper secondary school age, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",1,1,1
"Above Proficiency;TIMSS 2015 for grade 9 using MPL Low (400 points) for science, Second Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for science, First Quintile",1,1,1
Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for math,1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Fifth Quintile",1,1,1
"Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Second Quintile",1,1,1
"Above Proficiency;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Fourth Quintile",1,1,1
"Above Proficiency;TIMSS 2011 for grade 6 using MPL Low (400 points) for math, Fifth Quintile",1,1,1
Above Proficiency;TIMSS 2011 for grade 6 using MPL Low (400 points) for science,1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Male",1,1,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, First Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Urban",1,1,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Third Quintile",1,1,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for science, Female",1,1,1
Above Proficiency;TIMSS 2007 for grade 4 using MPL Low (400 points) for science,1,1,1
"Above Proficiency;TIMSS 2007 for grade 4 using MPL Low (400 points) for science, Male",1,1,1
"Above Proficiency;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",1,1,1
"Above Proficiency;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Urban",1,1,1
"Above Proficiency;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, First Quintile",1,1,1
"Above Proficiency;TIMSS 2007 for grade 9 using MPL Low (400 points) for math, Urban",1,1,1
Above Proficiency;TIMSS 2011 for grade 4 using MPL Low (400 points) for math,1,1,1
"Above Proficiency;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Fourth Quintile",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Rural",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Urban",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Female",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Fourth Quintile",1,1,1
"Above Proficiency;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Urban",1,1,1
"Above Proficiency;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Male",1,1,1
"Above Proficiency;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Rural",1,1,1
"Total net attendance rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",1,1,1
"Total net attendance rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science, Third Quintile",1,1,1
"Above Proficiency;PISA-D 2017 for grade 15Y using  for reading, Fifth Quintile",1,1,1
"Above Proficiency;PISA-D 2017 for grade 15Y using  for science, Third Quintile",1,1,1
"Above Proficiency;SACMEQ 2007 for grade 6 using MPL Level 5 for reading, Female",1,1,1
"Above Proficiency;SEA-PLM 2019 for grade 5 using MPL Level 6 for reading, Fourth Quintile",1,1,1
"Above Proficiency;SEA-PLM 2019 for grade 5 using MPL Level 6 for reading, Third Quintile",1,1,1
"Above Proficiency;PASEC 2014 for grade 6 using MPL 4 for reading, Fourth Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Female",1,1,1
"Above Proficiency;PASEC 2014 for grade 6 using MPL 4 for reading, Female",1,1,1
Above Proficiency;PASEC 2014 for grade 2 using MPL 4 for reading,1,1,1
"Above Proficiency;PASEC 2014 for grade 2 using MPL 4 for math, Male",1,1,1
"Above Proficiency;LLECES 2013 for grade 6 using MPL Level 3 for reading, Fifth Quintile",1,1,1
Above Proficiency;LLECES 2013 for grade 6 using MPL Level 3 for reading,1,1,1
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, First Quintile",1,1,1
"Total net attendance rate, upper secondary education, poorest quintile, female, adjusted location parity index (LPIA)",1,1,1
"Total net attendance rate, upper secondary education, rural, adjusted wealth parity index (WPIA)",1,1,1
"Total net attendance rate, upper secondary education, rural, fourth quintile, adjusted gender parity index (GPIA)",1,1,1
"Total net attendance rate, upper secondary, fourth quintile, both sexes (%)",1,1,1
"Total net attendance rate, upper secondary, fourth quintile, male (%)",1,1,1
"Above Proficiency;PASEC 2019 for grade 6 using MPL 4 for math, Urban",1,1,1
"Above Proficiency;PASEC 2019 for grade 2 using MPL 4 for math, Female",1,1,1
"Above Proficiency;PASEC 2014 for grade 6 using MPL 4 for reading, Rural",1,1,1
Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science,1,1,1
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, both sexes (household survey data) (%)",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Total net attendance rate, primary, second quintile, male (%)",1,1,1
"Out-of-school rate for children of primary school age, urban, second quintile, female (household survey data) (%)",1,1,1
"Out-of-school rate for youth of upper secondary school age, adjusted location parity index (household survey data) (LPIA)",1,1,1
"Total net attendance rate, upper secondary education, middle quintile, male, adjusted location parity index (LPIA)",1,1,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for science, Second Quintile",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Fifth Quintile",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Fourth Quintile",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Male",1,1,1
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Second Quintile",1,1,1
"Out-of-school rate for youth of upper secondary school age, female (household survey data) (%)",1,1,1
"Out-of-school rate for youth of upper secondary school age, male, adjusted wealth parity index (household survey data) (WPIA)",1,1,1
Learning Deprivation Severity;TIMSS 2007 for grade 4 using MPL Low (400 points) for science,1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 4 using MPL Low (400 points) for science, Male",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",1,1,1
"Total net attendance rate, upper secondary, urban, middle quintile, female (%)",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, First Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Third Quintile",1,1,1
"Total net attendance rate, upper secondary, urban, richest quintile, both sexes (%)",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Urban",1,1,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for science,1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 4 using MPL Low (400 points) for math, Urban",1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",1,1,1
"Total net attendance rate, upper secondary, rural, middle quintile, male (%)",1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Third Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Urban",1,1,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Second Quintile",1,1,1
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for math, Second Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Rural",1,1,1
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for reading, Male",1,1,1
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for science,1,1,1
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for science, Second Quintile",1,1,1
Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for math,1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math, Male",1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for reading,1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for reading, Male",1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for reading, Second Quintile",1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for science, Fourth Quintile",1,1,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Above Proficiency;PASEC 2019 for grade 6 using MPL 4 for reading, Third Quintile",1,1,1
