economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1978,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1978,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1978,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1978,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1978,3.714339971542358
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1978,6.26308012008667
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1978,4.247419834136963
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1978,5.455920219421387
BTN,Bhutan,"School age population, secondary education, female (number)",,,1978,19149.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1978,16749.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1978,348424.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1978,56942.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1978,97978.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1978,384834.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1978,79200584.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1978,4113.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1978,2681483.0
FIN,Finland,"School age population, secondary education, female (number)",,,1978,227201.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1978,7827339.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1978,54592.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1978,8306.0
LBY,Libya,"School age population, secondary education, female (number)",,,1978,193567.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1978,220759.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1978,375318.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1978,195015.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1978,40083.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1978,518485.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1978,55698.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1978,1123399.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1979,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1979,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1979,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1979,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1979,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1979,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1979,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1979,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1979,3.728399991989136
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1979,6.190599918365479
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1979,5.614389896392822
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1979,5.399919986724854
BTN,Bhutan,"School age population, secondary education, female (number)",,,1979,19935.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1979,17348.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1979,342732.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1979,59495.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1979,101333.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1979,388464.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1979,76224968.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1979,4206.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1979,2744665.0
FIN,Finland,"School age population, secondary education, female (number)",,,1979,225025.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1979,7716771.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1979,55748.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1979,8717.0
