economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,0.3094122516989185,98,0.22142686343412563,7,4.354505615920236,0.050850058069641865,2.0,2.0,1.0,1,1,0
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,0.24546982170269885,110,0.23238686174721598,7,4.290563185924016,0.05416232127978069,2.0,2.0,1.0,1,1,0
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.14654404384779476,105,0.21283635922301963,7,3.898549320373523,0.054593732625300644,1.0,1.0,2.0,0,0,1
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,-0.14097082049162402,110,0.21543500419634584,7,3.9041225437296934,0.05518141446209219,1.0,1.0,2.0,0,0,1
MEX,Mexico,Latin America & Caribbean,Upper middle income,IBRD,0.5138837547709875,110,0.25524888795608225,7,4.5589771189923045,0.0559881923716479,2.0,2.0,2.0,1,1,1
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.14464037537018212,56,0.22980336713145258,7,3.9004529888511357,0.0589170970111193,1.0,2.0,2.0,0,1,1
ROU,Romania,Europe & Central Asia,High income,IBRD,0.39046267013023267,110,0.2674137742544243,7,4.43555603435155,0.06028867005250639,2.0,2.0,2.0,1,1,1
CRI,Costa Rica,Latin America & Caribbean,High income,IBRD,0.21996750387946415,108,0.26909665560756746,7,4.2650608681007816,0.06309327438212983,2.0,2.0,2.0,1,1,1
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.3352011155992807,110,0.3098506087862521,7,4.3802944798205985,0.07073739224924039,2.0,2.0,2.0,1,1,1
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,-0.2624036993491947,97,0.30059731628301645,7,3.782689664872123,0.07946655499511572,0.0,2.0,2.0,0,1,1
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,0.03608864745956781,105,0.33163474079234934,7,4.081182011680886,0.08125948312110721,1.0,2.0,2.0,0,1,1
URY,Uruguay,Latin America & Caribbean,High income,IBRD,0.14489915515522855,105,0.3412464731285156,6,4.189992519376546,0.08144321775049175,1.0,2.0,2.0,0,1,1
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,0.20111212870515102,98,0.3636453913266386,7,4.246205492926469,0.08564008311242034,1.0,2.0,2.0,0,1,1
SYC,Seychelles,Sub-Saharan Africa,High income,IBRD,-0.2938692835469724,106,0.34772881231439295,7,3.751224080674345,0.09269742485015262,0.0,2.0,2.0,0,1,1
BRN,Brunei Darussalam,East Asia & Pacific,High income,,-0.09801704545216457,106,0.37063698524184047,7,3.947076318769153,0.09390165157926793,1.0,2.0,2.0,0,1,1
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,IBRD,-0.09044882664314448,106,0.3764675452151813,7,3.954644537578173,0.09519630440558641,1.0,2.0,2.0,0,1,1
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.4939225691439477,101,0.48608276456595373,7,4.539015933365265,0.10708990047663654,2.0,2.0,2.0,1,1,1
CHL,Chile,Latin America & Caribbean,High income,IBRD,0.3691303632455868,110,0.4789025459770659,7,4.414223727466904,0.10849077336002709,2.0,2.0,2.0,1,1,1
