Indicator name,non_null_values
"Completion rate, upper secondary education, rural, middle quintile, adjusted gender parity index (GPIA)",15
Initial government funding per secondary student as a percentage of GDP per capita,15
"Completion rate, upper secondary education, urban, female (%)",15
"Out-of-school children, one year younger than official primary entry age, male (number)",15
"Percentage of qualified teachers in lower secondary education, both sexes (%)",15
"Out-of-school rate for youth of upper secondary school age, middle quintile, female, adjusted location parity index (household survey data) (LPIA)",15
"Enrolment in early childhood educational development programmes, both sexes (number)",14
"Out-of-school children, one year before than official primary entry age, both sexes (number)",14
"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",14
"Repetition rate in Grade 1 of primary education, male (%)",14
"Oceania: Students from Tokelau, both sexes (number)",14
"Europe: Students from Monaco, both sexes (number)",14
"Gross intake ratio to the last grade of primary education, female (%)",14
"Repetition rate in Grade 7 of primary education, female (%)",14
"Completion rate, primary education, rural, female (%)",14
"Adult illiterate population, 15+ years, female (number)",14
"Africa: Students from Sudan (pre-secession), both sexes (number)",14
"Out-of-school rate for youth of upper secondary school age, rural, richest quintile, female (household survey data) (%)",14
"Caribbean and Central America: Students from Barbados, both sexes (number)",14
"Caribbean and Central America: Students from Nicaragua, both sexes (number)",14
"Completion rate, upper secondary education, poorest quintile, both sexes (%)",14
"Outbound mobility ratio to sub-Saharan Africa, both sexes (%)",14
