Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Namibia,1,-0.6212695708852928,0.16260200453783588,0.04749134720493417,0.0,1.0,1.0
Nauru,1,-0.9750891645693526,-0.803011520610031,-0.2615669127426815,0.0,0.0,0.0
Nepal,1,-0.09793253183527996,0.2743035862044055,0.06949389646192616,0.0,1.0,1.0
Netherlands,1,0.5405162959471879,0.27186607864370377,0.05928679037057717,1.0,1.0,1.0
New Zealand,1,0.539501917373995,0.24943796275368427,0.054407847897729116,1.0,1.0,1.0
Nicaragua,1,-0.178333967394209,0.13084584070434113,0.033838630045538255,0.0,1.0,1.0
Niger,1,-0.010386596731699355,-0.4287222073775212,-0.10625857889649586,0.0,0.0,0.0
Nigeria,1,-0.3258965480223351,0.29229606956687726,0.07859118084146023,0.0,1.0,1.0
North Macedonia,1,-0.6258418280626312,-0.3775214501046463,-0.11041055216685461,0.0,0.0,0.0
Norway,1,0.7422459706084681,0.038957925350594676,0.008137698756208983,1.0,0.0,0.0
Oman,1,0.0614989723095238,0.2928416901014475,0.07131014381350398,0.0,1.0,1.0
Pakistan,1,0.01600366450855971,0.247545583126518,0.060955348117830835,0.0,1.0,1.0
Palau,1,-0.8344319075455875,-0.35697168977575,-0.11118322333035797,0.0,0.0,0.0
Panama,1,-0.14651679579957308,-0.080942394093917,-0.020762037803629653,0.0,0.0,0.0
Papua New Guinea,1,-0.5341006342983817,-0.053909679478963524,-0.015354540332570506,0.0,0.0,0.0
Paraguay,1,0.05014742317102669,0.21392432679980952,0.052237301273810204,0.0,1.0,1.0
Peru,1,0.10483202671995975,-0.29112828181059647,-0.07015265441785774,0.0,0.0,0.0
Philippines,1,0.19537766659434125,0.3094975931907994,0.07298660713436529,0.0,1.0,1.0
Poland,1,0.707110124004862,0.23851942715055624,0.050191332871477416,1.0,1.0,1.0
Portugal,1,0.3348696134960492,-0.015881671320955228,-0.0036259830052791956,1.0,0.0,0.0
Puerto Rico (U.S.),1,0.4662311710901111,0.1742971083023125,0.038635462143775993,1.0,1.0,1.0
Qatar,1,-0.14464037537018212,-1.0896703892745712,-0.27937021479023905,0.0,0.0,0.0
Romania,1,0.32286720556791887,-0.1796649546322838,-0.04113245798850082,1.0,0.0,0.0
Russian Federation,1,0.8269036397873619,-0.027148388342124612,-0.005572332725120094,1.0,0.0,0.0
Rwanda,1,-0.07640935922524059,0.12788853540425163,0.03222441878548556,0.0,1.0,1.0
Samoa,1,-0.7524867157696555,0.09132948549319043,0.027737745574965014,0.0,0.0,0.0
San Marino,1,-0.4254705348643551,-0.6078580160147191,-0.1679340761928798,0.0,0.0,0.0
Saudi Arabia,1,0.40835184300923527,0.08860772259314055,0.0198964438698557,1.0,0.0,0.0
Senegal,1,-0.10290653973245474,0.00944440456286984,0.002395727291309789,0.0,0.0,0.0
Serbia,1,0.23156339049101737,-0.2703786402162013,-0.06322196419394152,1.0,0.0,0.0
Seychelles,1,-0.29386928354697217,-0.19694834145836704,-0.05250241980291466,0.0,0.0,0.0
Sierra Leone,1,-0.2740541970363066,0.031528427716885556,0.008360673628436685,0.0,0.0,0.0
Singapore,1,0.5062464461655692,0.5454027297865998,0.11983344520703629,1.0,1.0,1.0
Slovak Republic,1,0.45691248723275846,0.05732205491218888,0.01273255895339958,1.0,0.0,0.0
Slovenia,1,0.2215947625024456,0.04965617173696461,0.011638106714655476,1.0,0.0,0.0
Solomon Islands,1,-1.1399837594824003,-0.19390306565279417,-0.06674552496625005,0.0,0.0,0.0
"Somalia, Fed. Rep.",1,-1.8695498746132257,-0.6784112459908119,-0.3118352950567875,0.0,0.0,0.0
South Africa,1,0.5862244167109406,0.2642981506005625,0.05706759136432241,1.0,1.0,1.0
South Sudan,1,-0.5260950715476763,-0.3130220989336959,-0.08895204626424248,0.0,0.0,0.0
Spain,1,0.5001558292374493,0.1178808938477999,0.025934968321967167,1.0,0.0,0.0
Sri Lanka,1,-0.38233833833362485,0.24038606844312638,0.06562985150361436,0.0,1.0,1.0
St. Kitts and Nevis,1,-0.5879778258440933,-0.17831808799492951,-0.05158001982156269,0.0,0.0,0.0
St. Lucia,1,-0.6587591347592798,-1.0542015873083308,-0.3113105546807778,0.0,0.0,0.0
