INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,URY,Uruguay,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,437.6966247558594,6.083808114401654,6.038967468894472,0.14863525656586127,0.30168243082564
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARE,United Arab Emirates,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,448.0406799316406,6.1071134848222695,6.038967468894472,0.14863525656586127,0.4584781397245504
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CYP,Cyprus,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,502.1621704101563,6.22091252451999,6.038967468894472,0.14863525656586127,1.2241042928122317
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CZE,Czechia,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,512.2216186523438,6.240707757053663,6.038967468894472,0.14863525656586127,1.3572842192377035
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KWT,Kuwait,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,383.4022216796875,5.9516894566832015,6.038967468894472,0.14863525656586127,-0.5871958930053528
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBR,Liberia,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,331.7459411621094,5.8073792593409,6.038967468894472,0.14863525656586127,-1.5580974185014704
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PRY,Paraguay,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,385.5442810058594,5.957246430690951,6.038967468894472,0.14863525656586127,-0.549809245071744
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,WSM,Samoa,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IDA,true,2020,369.9078979492188,5.915953778281284,6.038967468894472,0.14863525656586127,-0.8276212081531279
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,XKX,Kosovo,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IDA,true,2020,373.5487670898438,5.925722013678005,6.038967468894472,0.14863525656586127,-0.7619017037608935
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ZMB,Zambia,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,358.1404418945313,5.883713515037151,6.038967468894472,0.14863525656586127,-1.0445297935656817
