economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.14654404384779476,105,0.21283635922302638,7,3.8985493203735215,0.05459373262530239
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend,0.2873490508787677,101,0.5754190533398271,7,4.332442415100084,0.13281631888153655
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.1759210679102044,63,-1.6890655335582438,6,3.869172296311112,-0.4365444090377178
ISL,Iceland,Europe & Central Asia,High income,,0.3807010611998702,110,0.917088316277223,7,4.425794425421186,0.20721439545623432
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.3436371712769074,49,-0.3698661258182502,7,3.7014561929444088,-0.09992449094042408
GRC,Greece,Europe & Central Asia,High income,,0.25566470208130265,110,0.6535846179184663,7,4.300758066302619,0.15196963136323455
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend,-0.07213696238966047,104,-0.7327102484563811,7,3.972956401831656,-0.18442443720715862
MLI,Mali,Sub-Saharan Africa,Low income,IDA,-0.086282262273062,110,-2.123631681889456,7,3.958811101948254,-0.5364316778955053
NRU,Nauru,East Asia & Pacific,High income,IBRD,-0.9750891645693526,6,-0.7656876370234146,7,3.070004199651964,-0.2494093125703926
DMA,Dominica,Latin America & Caribbean,Upper middle income,Blend,-0.6021278592946602,98,-0.015326897231931159,6,3.442965504926656,-0.004451655763033171
PRY,Paraguay,Latin America & Caribbean,Upper middle income,IBRD,0.0133683692550359,105,-0.37340900001940386,6,4.058461733476352,-0.09200752022356838
AUT,Austria,Europe & Central Asia,High income,,0.5946340114908324,110,1.0004628373828595,7,4.639727375712148,0.21562966018651025
SGP,Singapore,East Asia & Pacific,High income,,0.5062464461655692,58,1.8562566792994115,6,4.551339810386885,0.40784840434527364
NAM,Namibia,Sub-Saharan Africa,Lower middle income,IBRD,-0.5898383518219837,110,-0.6315443296383692,7,3.4552550123993324,-0.1827779215635445
PRT,Portugal,Europe & Central Asia,High income,,0.3157018596240565,105,1.049921765666095,7,4.360795223845373,0.24076383131337875
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,0.0160036645085597,57,-1.1004862612307755,7,4.0610970287298755,-0.2709825087766881
TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,-0.8476538512405655,59,-0.8385603783294494,7,3.197439512980751,-0.2622599661151112
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.33429907408108267,78,-0.40448186247291,6,3.7107942901402335,-0.10900142418232091
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.6976635682277519,57,0.8718254344006178,7,4.742756932449068,0.1838224996174164
BRB,Barbados,Latin America & Caribbean,High income,IBRD,-0.24610250412004275,105,-0.2028564888435849,1,3.7989908601012736,-0.05339746693630559
GUY,Guyana,Latin America & Caribbean,High income,IDA,-0.25117309197191123,91,-0.6885224802026105,7,3.793920272249405,-0.18148048213843657
VGB,British Virgin Islands,Latin America & Caribbean,High income,,-0.8871769815278692,78,-0.2028564888435849,1,3.157916382693447,-0.06423744781695731
NER,Niger,Sub-Saharan Africa,Low income,IDA,-0.04077195349058099,110,-2.109008110785773,7,4.004321410730736,-0.5266830242782402
LVA,Latvia,Europe & Central Asia,High income,,0.2824953156230619,98,0.9836762962524502,7,4.327588679844379,0.22730355609669992
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.32866431414223524,69,0.45769977027825565,7,3.716429050079081,0.1231557939384088
BOL,Bolivia,Latin America & Caribbean,Lower middle income,IBRD,0.25843667459177283,107,-0.2028564888435849,1,4.303530038813089,-0.047137230834696946
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,0.42284077552556537,108,0.03739460796871547,7,4.467934139746882,0.008369552191034302
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.37467362443412777,101,-0.29876442457323965,7,4.419766988655444,-0.06759732477755079
PLW,Palau,East Asia & Pacific,High income,IBRD,-0.8344319075455875,49,0.5505832647523344,6,3.2106614566757288,0.17148592966958284
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,-0.0051078585328007365,96,0.20457102752943235,7,4.039985505688516,0.050636574621712234
